iter	Passed	Remaining
0	13	13813
1	27	13484
2	40	13461
3	56	14047
4	70	13984
5	85	14133
6	97	13838
7	110	13717
8	123	13633
9	137	13616
10	152	13672
11	166	13679
12	178	13546
13	194	13690
14	211	13863
15	232	14281
16	254	14702
17	277	15136
18	299	15443
19	316	15487
20	341	15917
21	364	16208
22	383	16275
23	399	16246
24	413	16131
25	426	15963
26	439	15829
27	452	15719
28	469	15724
29	485	15699
30	498	15593
31	514	15553
32	531	15567
33	547	15555
34	564	15565
35	588	15770
36	606	15785
37	631	15983
38	652	16081
39	668	16037
40	683	15989
41	697	15904
42	711	15834
43	725	15773
44	743	15779
45	760	15772
46	775	15734
47	793	15746
48	816	15842
49	834	15847
50	854	15904
51	873	15916
52	889	15885
53	901	15796
54	915	15725
55	929	15665
56	942	15592
57	957	15545
58	971	15493
59	988	15478
60	1005	15470
61	1022	15465
62	1043	15521
63	1064	15567
64	1090	15692
65	1112	15740
66	1158	16130
67	1175	16105
68	1191	16074
69	1206	16034
70	1224	16022
71	1239	15975
72	1254	15934
73	1269	15884
74	1284	15845
75	1299	15797
76	1313	15750
77	1327	15692
78	1349	15727
79	1366	15713
80	1382	15681
81	1397	15641
82	1410	15583
83	1425	15544
84	1442	15533
85	1462	15546
86	1475	15483
87	1488	15426
88	1504	15401
89	1528	15457
90	1553	15516
91	1572	15519
92	1588	15496
93	1605	15477
94	1626	15497
95	1639	15434
96	1652	15382
97	1666	15343
98	1680	15293
99	1695	15257
100	1709	15219
101	1723	15171
102	1735	15110
103	1751	15086
104	1769	15081
105	1782	15033
106	1797	15000
107	1811	14960
108	1826	14932
109	1844	14920
110	1858	14884
111	1871	14839
112	1884	14793
113	1898	14755
114	1912	14721
115	1931	14719
116	1948	14708
117	1963	14672
118	1976	14632
119	1989	14591
120	2005	14569
121	2020	14541
122	2035	14511
123	2046	14458
124	2059	14419
125	2074	14391
126	2088	14353
127	2101	14314
128	2113	14267
129	2126	14234
130	2140	14199
131	2153	14161
132	2167	14127
133	2182	14101
134	2194	14059
135	2208	14029
136	2222	14001
137	2235	13963
138	2249	13932
139	2264	13908
140	2276	13866
141	2289	13832
142	2302	13800
143	2320	13791
144	2335	13771
145	2348	13738
146	2362	13708
147	2374	13668
148	2386	13633
149	2400	13602
150	2414	13575
151	2428	13548
152	2440	13510
153	2453	13475
154	2466	13446
155	2493	13490
156	2514	13499
157	2531	13489
158	2545	13462
159	2558	13433
160	2570	13396
161	2583	13365
162	2598	13343
163	2613	13322
164	2629	13304
165	2642	13276
166	2655	13243
167	2666	13203
168	2678	13172
169	2693	13150
170	2707	13125
171	2721	13099
172	2734	13070
173	2752	13068
174	2769	13055
175	2796	13092
176	2815	13092
177	2838	13105
178	2855	13096
179	2872	13083
180	2888	13071
181	2906	13062
182	2925	13061
183	2942	13050
184	2959	13039
185	2975	13023
186	3000	13046
187	3042	13139
188	3066	13158
189	3087	13162
190	3109	13171
191	3134	13190
192	3153	13184
193	3173	13184
194	3199	13207
195	3216	13194
196	3233	13179
197	3250	13166
198	3267	13150
199	3285	13140
200	3302	13127
201	3327	13145
202	3348	13146
203	3366	13134
204	3383	13120
205	3400	13107
206	3419	13101
207	3437	13087
208	3454	13072
209	3479	13088
210	3503	13101
211	3528	13115
212	3549	13114
213	3572	13123
214	3590	13107
215	3611	13109
216	3630	13101
217	3648	13088
218	3669	13086
219	3688	13078
220	3708	13073
221	3728	13065
222	3746	13053
223	3765	13044
224	3781	13026
225	3802	13024
226	3821	13014
227	3838	12997
228	3857	12985
229	3874	12970
230	3891	12953
231	3909	12940
232	3926	12926
233	3944	12911
234	3961	12896
235	3982	12892
236	4000	12880
237	4019	12868
238	4037	12856
239	4056	12844
240	4077	12843
241	4098	12838
242	4116	12824
243	4134	12808
244	4171	12855
245	4222	12943
246	4274	13030
247	4335	13145
248	4390	13243
249	4425	13275
250	4450	13281
251	4501	13362
252	4544	13418
253	4571	13426
254	4605	13456
255	4639	13483
256	4670	13503
257	4705	13532
258	4733	13541
259	4771	13579
260	4817	13640
261	4913	13840
262	4934	13829
263	4948	13795
264	4963	13766
265	4978	13738
266	4993	13708
267	5007	13677
268	5019	13640
269	5032	13606
270	5045	13572
271	5058	13539
272	5071	13506
273	5083	13469
274	5099	13444
275	5115	13417
276	5128	13385
277	5141	13353
278	5154	13320
279	5166	13285
280	5179	13253
281	5193	13222
282	5208	13195
283	5221	13164
284	5233	13130
285	5246	13097
286	5258	13064
287	5275	13041
288	5289	13012
289	5303	12984
290	5317	12955
291	5329	12921
292	5342	12891
293	5355	12860
294	5369	12831
295	5382	12802
296	5394	12768
297	5409	12742
298	5424	12716
299	5437	12687
300	5456	12671
301	5469	12641
302	5483	12613
303	5498	12589
304	5514	12565
305	5527	12535
306	5539	12505
307	5558	12488
308	5572	12460
309	5586	12433
310	5600	12407
311	5617	12387
312	5631	12360
313	5645	12333
314	5657	12302
315	5669	12272
316	5683	12244
317	5697	12218
318	5710	12190
319	5726	12167
320	5738	12138
321	5751	12109
322	5765	12083
323	5778	12056
324	5794	12035
325	5808	12009
326	5820	11979
327	5835	11955
328	5849	11929
329	5862	11902
330	5876	11877
331	5894	11859
332	5908	11835
333	5923	11811
334	5936	11784
335	5951	11760
336	5965	11735
337	5977	11708
338	5991	11681
339	6004	11654
340	6016	11626
341	6029	11600
342	6045	11579
343	6059	11554
344	6073	11530
345	6086	11504
346	6098	11476
347	6110	11448
348	6123	11423
349	6138	11399
350	6152	11375
351	6165	11350
352	6177	11322
353	6190	11296
354	6205	11274
355	6218	11250
356	6233	11226
357	6244	11198
358	6257	11173
359	6272	11151
360	6285	11126
361	6302	11107
362	6315	11082
363	6326	11054
364	6339	11029
365	6353	11005
366	6368	10983
367	6381	10959
368	6393	10933
369	6405	10906
370	6418	10882
371	6433	10860
372	6447	10838
373	6462	10816
374	6473	10789
375	6486	10765
376	6500	10741
377	6515	10720
378	6529	10699
379	6546	10680
380	6559	10657
381	6571	10631
382	6585	10609
383	6599	10585
384	6612	10562
385	6625	10538
386	6636	10512
387	6649	10488
388	6663	10466
389	6678	10446
390	6695	10428
391	6708	10404
392	6721	10381
393	6733	10356
394	6746	10333
395	6763	10316
396	6778	10295
397	6793	10276
398	6807	10254
399	6821	10232
400	6833	10208
401	6846	10184
402	6860	10162
403	6873	10139
404	6888	10120
405	6901	10097
406	6913	10073
407	6928	10053
408	6942	10031
409	6955	10009
410	6969	9987
411	6980	9962
412	6992	9938
413	7007	9918
414	7020	9896
415	7033	9874
416	7045	9850
417	7058	9827
418	7071	9805
419	7084	9783
420	7098	9763
421	7112	9741
422	7125	9720
423	7142	9702
424	7155	9681
425	7168	9659
426	7181	9637
427	7195	9616
428	7208	9593
429	7221	9572
430	7234	9550
431	7247	9528
432	7260	9508
433	7272	9485
434	7287	9465
435	7301	9444
436	7315	9425
437	7329	9404
438	7342	9383
439	7354	9360
440	7367	9338
441	7380	9317
442	7394	9297
443	7408	9276
444	7424	9259
445	7438	9239
446	7450	9216
447	7463	9196
448	7477	9175
449	7490	9154
450	7504	9135
451	7516	9113
452	7538	9102
453	7550	9080
454	7562	9058
455	7576	9038
456	7590	9018
457	7604	8999
458	7616	8976
459	7630	8957
460	7644	8937
461	7658	8917
462	7673	8899
463	7686	8879
464	7698	8857
465	7711	8836
466	7724	8816
467	7741	8800
468	7755	8780
469	7768	8759
470	7781	8739
471	7793	8718
472	7807	8698
473	7820	8677
474	7833	8657
475	7848	8639
476	7861	8619
477	7875	8599
478	7888	8579
479	7902	8560
480	7916	8541
481	7934	8526
482	7949	8508
483	7962	8488
484	7974	8467
485	7987	8447
486	8000	8427
487	8013	8407
488	8025	8386
489	8039	8367
490	8054	8349
491	8067	8329
492	8082	8311
493	8095	8292
494	8107	8271
495	8119	8250
496	8132	8230
497	8146	8211
498	8159	8192
499	8172	8172
500	8185	8152
501	8199	8134
502	8212	8114
503	8225	8095
504	8238	8074
505	8250	8055
506	8264	8036
507	8280	8019
508	8293	8000
509	8306	7981
510	8319	7961
511	8340	7949
512	8352	7929
513	8365	7909
514	8380	7891
515	8394	7873
516	8407	7854
517	8421	7836
518	8433	7816
519	8446	7796
520	8459	7777
521	8475	7760
522	8489	7742
523	8504	7725
524	8516	7705
525	8528	7685
526	8541	7666
527	8556	7648
528	8570	7631
529	8584	7613
530	8596	7592
531	8608	7573
532	8621	7554
533	8636	7536
534	8649	7518
535	8663	7500
536	8675	7479
537	8690	7462
538	8703	7444
539	8719	7427
540	8734	7410
541	8748	7392
542	8761	7373
543	8773	7354
544	8788	7337
545	8800	7317
546	8814	7299
547	8828	7281
548	8842	7264
549	8855	7245
550	8868	7227
551	8883	7209
552	8947	7232
553	9008	7252
554	9041	7249
555	9068	7241
556	9099	7237
557	9137	7237
558	9161	7227
559	9205	7232
560	9218	7213
561	9231	7194
562	9245	7176
563	9259	7158
564	9272	7139
565	9286	7120
566	9299	7101
567	9312	7082
568	9326	7064
569	9339	7045
570	9351	7026
571	9364	7006
572	9378	6988
573	9391	6969
574	9404	6951
575	9416	6931
576	9428	6912
577	9442	6893
578	9455	6875
579	9470	6858
580	9486	6841
581	9500	6823
582	9512	6804
583	9525	6785
584	9540	6768
585	9556	6751
586	9571	6734
587	9585	6716
588	9599	6698
589	9611	6679
590	9624	6660
591	9638	6642
592	9652	6624
593	9664	6605
594	9676	6586
595	9689	6568
596	9707	6552
597	9720	6534
598	9734	6516
599	9746	6497
600	9757	6478
601	9770	6459
602	9785	6442
603	9797	6423
604	9810	6405
605	9823	6386
606	9836	6368
607	9849	6350
608	9863	6332
609	9875	6313
610	9889	6296
611	9904	6279
612	9918	6261
613	9931	6243
614	9946	6226
615	9961	6209
616	9972	6190
617	9984	6171
618	9999	6154
619	10013	6137
620	10026	6119
621	10037	6100
622	10050	6081
623	10063	6063
624	10076	6045
625	10088	6027
626	10099	6008
627	10114	5991
628	10127	5973
629	10141	5956
630	10154	5938
631	10167	5920
632	10179	5902
633	10194	5885
634	10208	5867
635	10221	5850
636	10233	5831
637	10246	5813
638	10259	5795
639	10271	5777
640	10283	5759
641	10294	5740
642	10308	5723
643	10322	5706
644	10336	5689
645	10352	5672
646	10362	5653
647	10378	5637
648	10391	5619
649	10405	5602
650	10418	5585
651	10431	5567
652	10443	5549
653	10457	5532
654	10472	5516
655	10486	5499
656	10501	5482
657	10513	5464
658	10526	5447
659	10539	5429
660	10553	5412
661	10565	5394
662	10577	5376
663	10589	5358
664	10602	5340
665	10616	5323
666	10629	5306
667	10642	5289
668	10654	5271
669	10666	5253
670	10682	5237
671	10695	5220
672	10707	5202
673	10719	5184
674	10737	5169
675	10751	5152
676	10763	5135
677	10777	5118
678	10788	5100
679	10801	5083
680	10815	5066
681	10831	5050
682	10845	5033
683	10858	5016
684	10869	4998
685	10883	4981
686	10895	4964
687	10909	4947
688	10923	4930
689	10935	4913
690	10948	4895
691	10960	4878
692	10975	4861
693	10988	4844
694	11000	4827
695	11012	4810
696	11026	4793
697	11041	4777
698	11053	4759
699	11065	4742
700	11078	4725
701	11091	4708
702	11104	4691
703	11117	4674
704	11129	4656
705	11148	4642
706	11159	4624
707	11173	4608
708	11186	4591
709	11199	4574
710	11211	4557
711	11224	4540
712	11238	4523
713	11252	4507
714	11265	4490
715	11277	4473
716	11291	4456
717	11303	4439
718	11317	4422
719	11330	4406
720	11344	4389
721	11357	4373
722	11371	4356
723	11384	4340
724	11399	4323
725	11410	4306
726	11422	4289
727	11438	4273
728	11456	4258
729	11469	4242
730	11483	4225
731	11495	4208
732	11509	4192
733	11525	4176
734	11538	4160
735	11551	4143
736	11564	4126
737	11576	4109
738	11589	4093
739	11603	4076
740	11616	4060
741	11628	4043
742	11640	4026
743	11657	4011
744	11671	3994
745	11684	3978
746	11697	3961
747	11709	3944
748	11721	3928
749	11735	3911
750	11749	3895
751	11763	3879
752	11776	3862
753	11788	3846
754	11802	3829
755	11815	3813
756	11828	3796
757	11841	3780
758	11853	3763
759	11868	3747
760	11881	3731
761	11895	3715
762	11908	3698
763	11920	3682
764	11936	3666
765	11950	3650
766	11964	3634
767	11978	3618
768	11990	3601
769	12002	3585
770	12016	3568
771	12028	3552
772	12042	3536
773	12054	3519
774	12068	3503
775	12082	3487
776	12095	3471
777	12109	3455
778	12122	3439
779	12134	3422
780	12147	3406
781	12159	3389
782	12173	3373
783	12186	3357
784	12198	3340
785	12211	3324
786	12223	3308
787	12235	3291
788	12248	3275
789	12261	3259
790	12274	3243
791	12289	3227
792	12304	3211
793	12317	3195
794	12329	3179
795	12346	3164
796	12361	3148
797	12374	3132
798	12389	3116
799	12404	3101
800	12418	3085
801	12431	3069
802	12442	3052
803	12455	3036
804	12470	3020
805	12483	3004
806	12498	2989
807	12511	2972
808	12523	2956
809	12535	2940
810	12548	2924
811	12560	2908
812	12573	2892
813	12586	2875
814	12601	2860
815	12613	2844
816	12625	2828
817	12640	2812
818	12652	2796
819	12666	2780
820	12680	2764
821	12693	2748
822	12706	2732
823	12719	2716
824	12732	2700
825	12747	2685
826	12762	2669
827	12774	2653
828	12786	2637
829	12802	2622
830	12814	2605
831	12827	2590
832	12840	2574
833	12851	2558
834	12865	2542
835	12878	2526
836	12892	2510
837	12904	2494
838	12917	2478
839	12930	2463
840	12944	2447
841	12957	2431
842	12970	2415
843	12982	2399
844	12996	2383
845	13012	2368
846	13025	2352
847	13039	2337
848	13050	2321
849	13063	2305
850	13076	2289
851	13089	2273
852	13101	2257
853	13113	2241
854	13128	2226
855	13141	2210
856	13157	2195
857	13171	2179
858	13185	2164
859	13197	2148
860	13209	2132
861	13224	2117
862	13237	2101
863	13250	2085
864	13262	2069
865	13274	2054
866	13290	2038
867	13306	2023
868	13320	2008
869	13334	1992
870	13349	1977
871	13360	1961
872	13373	1945
873	13387	1930
874	13403	1914
875	13417	1899
876	13430	1883
877	13442	1867
878	13455	1852
879	13467	1836
880	13481	1820
881	13493	1805
882	13505	1789
883	13518	1773
884	13534	1758
885	13547	1743
886	13561	1727
887	13576	1712
888	13588	1696
889	13601	1681
890	13617	1665
891	13631	1650
892	13645	1634
893	13657	1619
894	13669	1603
895	13682	1588
896	13695	1572
897	13710	1557
898	13724	1541
899	13735	1526
900	13750	1510
901	13764	1495
902	13777	1479
903	13791	1464
904	13804	1449
905	13816	1433
906	13830	1418
907	13845	1402
908	13858	1387
909	13871	1371
910	13883	1356
911	13896	1340
912	13910	1325
913	13923	1310
914	13938	1294
915	13954	1279
916	13969	1264
917	13980	1248
918	13993	1233
919	14006	1217
920	14019	1202
921	14032	1187
922	14045	1171
923	14059	1156
924	14072	1141
925	14085	1125
926	14096	1110
927	14108	1094
928	14122	1079
929	14135	1063
930	14148	1048
931	14163	1033
932	14175	1017
933	14186	1002
934	14200	987
935	14211	971
936	14225	956
937	14238	941
938	14253	925
939	14266	910
940	14279	895
941	14291	879
942	14304	864
943	14318	849
944	14331	834
945	14345	818
946	14361	803
947	14373	788
948	14388	773
949	14401	757
950	14414	742
951	14428	727
952	14439	712
953	14452	696
954	14467	681
955	14479	666
956	14493	651
957	14504	635
958	14517	620
959	14531	605
960	14546	590
961	14560	575
962	14573	559
963	14585	544
964	14600	529
965	14613	514
966	14626	499
967	14639	483
968	14651	468
969	14664	453
970	14679	438
971	14693	423
972	14707	408
973	14718	392
974	14730	377
975	14744	362
976	14757	347
977	14771	332
978	14785	317
979	14800	302
980	14812	286
981	14827	271
982	14840	256
983	14853	241
984	14865	226
985	14877	211
986	14892	196
987	14905	181
988	14919	165
989	14930	150
990	14943	135
991	14956	120
992	14969	105
993	14982	90
994	14995	75
995	15007	60
996	15021	45
997	15034	30
998	15047	15
999	15059	0
